sheng,shi,xian,xiangzhen,cun,geocodeAdd,lon,lat
广东省,揭阳市,普宁市,军埠镇,大长陇村,广东省大长陇村,116.275592,23.243796
广东省,揭阳市,普宁市,军埠镇,莲坛村,广东省莲坛村,113.7632828,23.3790333
广东省,揭阳市,普宁市,军埠镇,石桥头村,广东省石桥头村,116.289177,23.277482
广东省,揭阳市,普宁市,燎原镇,光南村,广东省光南村,116.169649,23.334931
广东省,揭阳市,普宁市,燎原镇,果陇村,广东省果陇村,116.168074,23.341785
广东省,揭阳市,普宁市,燎原镇,泥沟村,广东省泥沟村,116.148215,23.344036
广东省,揭阳市,普宁市,燎原镇,乌石村,广东省乌石村,116.512687,23.354303
广东省,揭阳市,普宁市,流沙北街道,白沙陇村,广东省白沙陇村,116.162482,23.29955
广东省,揭阳市,普宁市,流沙北街道,南园村,广东省南园村,116.170186,23.307444
广东省,揭阳市,普宁市,流沙北街道,西陇村,广东省西陇村,116.17514,23.316563
广东省,揭阳市,普宁市,流沙北街道,小扬美村,广东省小扬美村,116.189954,23.327788
广东省,揭阳市,普宁市,流沙北街道,新村,广东省新村,113.291836,23.137942
广东省,揭阳市,普宁市,流沙南街道,东埔村,广东省东埔村,116.59454,23.680188
广东省,揭阳市,普宁市,流沙南街道,光草洋村,广东省光草洋村,116.178359,23.285742
广东省,揭阳市,普宁市,流沙南街道,马栅村,广东省马栅村,116.201011,23.27666
广东省,揭阳市,普宁市,流沙南街道,泗竹埔村,广东省泗竹埔村,116.191024,23.275598
广东省,揭阳市,普宁市,梅塘镇,泗坑村,广东省泗坑村,116.125127,23.325425
广东省,揭阳市,普宁市,梅塘镇,涂洋村,广东省涂洋村,116.111128,23.338002
广东省,揭阳市,普宁市,梅塘镇,溪南村,广东省溪南村,116.089107,23.3797
广东省,揭阳市,普宁市,梅塘镇,长美村,广东省长美村,116.058764,23.354638
广东省,揭阳市,普宁市,南径镇,龙门村,广东省龙门村,112.164433,22.544226
广东省,揭阳市,普宁市,南径镇,青洋山村,广东省青洋山村,116.31739,23.308907
广东省,揭阳市,普宁市,南溪镇,钟堂村,广东省钟堂村,116.24709,23.489635
广东省,揭阳市,普宁市,麒麟镇,月屿村,广东省月屿村,116.328592,23.370315
广东省,揭阳市,普宁市,下架山镇,横溪村,广东省横溪村,116.550647,23.689224
广东省,揭阳市,普宁市,下架山镇,咸寮村,广东省咸寮村,116.212281,23.241932
广东省,揭阳市,普宁市,占陇镇,交丙坛村,广东省交丙坛村,116.236033,23.290679
广东省,揭阳市,普宁市,占陇镇,朴兜村,广东省朴兜村,116.279635,23.284128
广东省,揭阳市,普宁市,占陇镇,西楼村,广东省西楼村,116.286887,23.290473
广东省,揭阳市,普宁市,占陇镇,下村,广东省下村,113.883918,22.788867
广东省,揭阳市,普宁市,占陇镇,下寨村,广东省下寨村,116.959617,23.714836
广东省,揭阳市,普宁市,占陇镇,占陈村,广东省占陈村,116.269494,23.285291
广东省,揭阳市,普宁市,占陇镇,占苏村,广东省占苏村,116.265932,23.290085
广东省,揭阳市,普宁市,占陇镇,占杨村,广东省占杨村,116.257802,23.288222
广东省,汕头市,潮南区,陈店镇,浮草村,广东省浮草村,116.334176,23.296941
广东省,汕头市,潮南区,陈店镇,港后村,广东省港后村,116.34115,23.285352
广东省,汕头市,潮南区,陈店镇,流仙村,广东省流仙村,116.352902,23.290274
广东省,汕头市,潮南区,陈店镇,内新村,广东省内新村,116.323659,23.300111
广东省,汕头市,潮南区,陈店镇,新溪西村,广东省新溪西村,116.303669,23.264069
广东省,汕头市,潮南区,陈店镇,洋新村,广东省洋新村,115.888099,23.99924
广东省,汕头市,潮南区,成田镇,简朴村,广东省简朴村,116.480567,23.168759
广东省,汕头市,潮南区,成田镇,深沟村,广东省深沟村,116.484476,23.195535
广东省,汕头市,潮南区,成田镇,西岐村,广东省西岐村,116.473787,23.191793
广东省,汕头市,潮南区,两英镇,东北村,广东省东北村,116.3927,23.205553
广东省,汕头市,潮南区,两英镇,禾皋村,广东省禾皋村,116.34679,23.229852
广东省,汕头市,潮南区,两英镇,西新村,广东省西新村,116.383957,23.206287
广东省,汕头市,潮南区,陇田镇,芝兰村,广东省芝兰村,116.522996,23.172168
广东省,汕头市,潮南区,陇田镇,珠埕村,广东省珠埕村,116.508805,23.190509
广东省,汕头市,潮南区,胪岗镇,泗和村,广东省泗和村,111.66298,22.691172
